camis,dba,boro,building,street,zipcode,phone,cuisine_description,inspection_date,action,violation_code,violation_description,critical_flag,score,grade,grade_date,record_date,inspection_type,latitude,longitude,community_board,council_district,census_tract,bin,bbl,nta,location
50127870,UMI,Queens,220-18,HILLSIDE AVENUE,11427.0,7184682100,Seafood,2026-03-17,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,30.0,,,2026-07-01T06:00:14.000,Cycle Inspection / Initial Inspection,40.730682474809,-73.743310333224,413.0,23.0,130100.0,4166343.0,4079450002.0,QN43,POINT (-73.743310333224 40.730682474809)
41574441,PRINCESS PIZZERIA,Brooklyn,535,5 AVENUE,11215.0,7187889111,Pizza,2024-01-08,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,22.0,,,2026-07-01T06:00:14.000,Cycle Inspection / Initial Inspection,40.666066266529,-73.988872546781,306.0,39.0,14100.0,3023694.0,3010420010.0,BK37,POINT (-73.988872546781 40.666066266529)
40885478,ROCA TONE SEAFOOD RESTAURANT,Bronx,3740,WHITE PLAINS ROAD,10467.0,7186546480,Caribbean,2024-01-12,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,31.0,,,2026-07-01T06:00:14.000,Cycle Inspection / Initial Inspection,40.882582308452,-73.863343365724,212.0,12.0,39000.0,2058006.0,2046650055.0,BX44,POINT (-73.863343365724 40.882582308452)
41612730,PAPA YE RESTAURANT,Bronx,196,MCCLELLAN STREET,10456.0,7186813240,African,2025-06-17,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,25.0,,,2026-07-01T06:00:14.000,Cycle Inspection / Initial Inspection,40.832644305218,-73.917756321238,204.0,16.0,18102.0,2002742.0,2024560075.0,BX14,POINT (-73.917756321238 40.832644305218)
50072223,LULA BIRD,Brooklyn,814,NOSTRAND AVENUE,11216.0,7186187339,Latin American,2024-06-13,Violations were cited in the following area(s).,04A,Food Protection Certificate (FPC) not held by manager or supervisor of food operations.,Critical,12.0,A,2024-06-13T00:00:00.000,2026-07-01T06:00:14.000,Cycle Inspection / Initial Inspection,40.67092805807,-73.95041125523,308.0,35.0,31702.0,3032248.0,3012540043.0,BK61,POINT (-73.95041125523 40.67092805807)
50170912,CHUANG CHEF,Queens,55-27,108 STREET,11368.0,9177144820,Chinese,2025-12-06,Violations were cited in the following area(s).,05H,No approved written standard operating procedure for avoiding contamination by refillable returnable containers.,Critical,28.0,,,2026-07-01T06:00:14.000,Pre-permit (Operational) / Initial Inspection,40.740617372997,-73.853549437122,404.0,21.0,43900.0,4048287.0,4019610022.0,QN25,POINT (-73.853549437122 40.740617372997)
50174546,LIVELY BROOKLYN,Brooklyn,396,7 AVENUE,11215.0,8459452615,Coffee/Tea,2025-12-08,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,46.0,,,2026-07-01T06:00:14.000,Pre-permit (Operational) / Initial Inspection,40.6648798412,-73.983267665782,306.0,39.0,15100.0,3023282.0,3010300040.0,BK37,POINT (-73.983267665782 40.6648798412)
50010316,WING GONG RESTAURANT,Manhattan,2109,1 AVENUE,10029.0,2124101661,Chinese,2024-09-19,Violations were cited in the following area(s).,08B,"Garbage receptacle not pest or water resistant, with tight-fitting lids, and covered except while in active use. Garbage receptacle and cover not cleaned after emptying and prior to reuse. Garbage, refuse and other solid and liquid waste not collected, stored, removed and disposed of so as to prevent a nuisance.",Not Critical,22.0,,,2026-07-01T06:00:14.000,Cycle Inspection / Initial Inspection,40.791132280719,-73.938970697937,111.0,8.0,17000.0,1052808.0,1016800025.0,MN33,POINT (-73.938970697937 40.791132280719)
50131610,MIKE'S DELI,Queens,117-11,135 AVENUE,11420.0,7188439896,Sandwiches,2026-01-23,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,9.0,A,2026-01-23T00:00:00.000,2026-07-01T06:00:14.000,Cycle Inspection / Re-inspection,40.670842545572,-73.822528212901,410.0,28.0,83800.0,4435065.0,4117380001.0,QN55,POINT (-73.822528212901 40.670842545572)
41579300,METATE MEXICAN RESTAURANT,Bronx,3515,JOHNSON AVENUE,10463.0,7185434444,Mexican,2024-12-18,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,13.0,A,2024-12-18T00:00:00.000,2026-07-01T06:00:14.000,Cycle Inspection / Re-inspection,40.88590268267,-73.909910906926,208.0,11.0,29700.0,2084161.0,2057940509.0,BX29,POINT (-73.909910906926 40.88590268267)
41588604,2ND AVENUE DELI,Manhattan,1442,1 AVENUE,10021.0,2127371700,Jewish/Kosher,2023-06-14,Violations were cited in the following area(s).,04C,Food worker/food vendor does not use utensil or other barrier to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,29.0,,,2026-07-01T06:00:14.000,Cycle Inspection / Initial Inspection,40.76964811783,-73.954637267305,108.0,5.0,13200.0,1045916.0,1014690046.0,MN31,POINT (-73.954637267305 40.76964811783)
50147024,KINGS KITCHEN 158,Brooklyn,158,LEWIS AVENUE,11221.0,7189198919,Chinese,2026-01-21,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7.0,A,2026-01-21T00:00:00.000,2026-07-01T06:00:14.000,Cycle Inspection / Initial Inspection,40.691380884045,-73.936736488639,303.0,36.0,27900.0,3043537.0,3016090043.0,BK35,POINT (-73.936736488639 40.691380884045)
50105500,LE PAIN QUOTIDIEN,Manhattan,1270,1 AVENUE,10065.0,2129885001,French,2025-03-05,Violations were cited in the following area(s).,03A,"Food, prohibited, from unapproved or unknown source, home canned or home prepared. Animal slaughtered, butchered or dressed (eviscerated, skinned) in establishment. Reduced Oxygen Packaged (ROP) fish not frozen before processing. ROP food prepared on premises transported to another site.",Critical,43.0,,,2026-07-01T06:00:14.000,Cycle Inspection / Initial Inspection,40.765458041436,-73.957694207106,108.0,5.0,11600.0,1045574.0,1014630003.0,MN31,POINT (-73.957694207106 40.765458041436)
50018481,THE HANDPULLED NOODLE,Manhattan,3600,BROADWAY,10031.0,9172620213,Asian/Asian Fusion,2023-12-07,Establishment re-opened by DOHMH.,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,14.0,P,2023-12-07T00:00:00.000,2026-07-01T06:00:14.000,Cycle Inspection / Reopening Inspection,40.828432766425,-73.948970898181,109.0,7.0,23300.0,1062014.0,1020800001.0,MN04,POINT (-73.948970898181 40.828432766425)
41139219,DOKEBI GRILL,Manhattan,199,GRAND STREET,10013.0,7187821424,Korean,2023-03-15,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,17.0,,,2026-07-01T06:00:14.000,Cycle Inspection / Initial Inspection,40.719139690918,-73.996796541194,102.0,1.0,4100.0,1003090.0,1002370014.0,MN24,POINT (-73.996796541194 40.719139690918)
41084188,UVA,Manhattan,1486,2 AVENUE,10075.0,2124724552,Italian,2025-12-06,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,21.0,,,2026-07-01T06:00:14.000,Cycle Inspection / Initial Inspection,40.77232744295,-73.955772708486,108.0,5.0,13400.0,1045200.0,1014520004.0,MN31,POINT (-73.955772708486 40.77232744295)
50059864,GIOVANNI RESTAURANT,Bronx,579,GRAND CONCOURSE,10451.0,7184026996,Italian,2026-01-13,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,26.0,,,2026-07-01T06:00:14.000,Cycle Inspection / Initial Inspection,40.819300109395,-73.926971448884,204.0,8.0,6300.0,2001055.0,2023470020.0,BX63,POINT (-73.926971448884 40.819300109395)
50087301,GOLDEN WOK,Manhattan,1770,AMSTERDAM AVENUE,10031.0,2122810808,Chinese,2022-07-19,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,35.0,,,2026-07-01T06:00:14.000,Cycle Inspection / Initial Inspection,40.826883565018,-73.946406602955,109.0,7.0,23300.0,1061987.0,1020790033.0,MN04,POINT (-73.946406602955 40.826883565018)
