"camis","dba","boro","building","street","zipcode","phone","cuisine_description","inspection_date","action","violation_code","violation_description","critical_flag","score","grade","grade_date","record_date","inspection_type","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","location"
"50127870","UMI","Queens","220-18","HILLSIDE AVENUE","11427","7184682100","Seafood","2026-03-17T00:00:00.000","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","30",,,"2026-07-01T06:00:14.000","Cycle Inspection / Initial Inspection","40.730682474809","-73.743310333224","413","23","130100","4166343","4079450002","QN43","POINT (-73.743310333224 40.730682474809)"
"50122060","EL PASO MEXICAN GRILL","Brooklyn","809","AVENUE U","11223","3473053600","Tex-Mex","2023-10-23T00:00:00.000","Violations were cited in the following area(s).","19-06","Providing single-use, non-compostable plastic straws to customers without customer request (including providing such straws at a self-serve station)","Not Critical",,,,"2026-07-01T06:00:14.000","Administrative Miscellaneous / Initial Inspection","40.598124660959","-73.962841948875","315","47","039400","3192161","3071110045","BK25","POINT (-73.962841948875 40.598124660959)"
"50182854","BUFFALO WILD WINGS GO","Manhattan","2907","BROADWAY","10025","9173376134",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-07-01T06:00:18.000",,"40.806338133425","-73.965127405919","109","07","019900","1057350","1018950055","MN09","POINT (-73.965127405919 40.806338133425)"
"50104310","ESSEX SQUEEZE","Manhattan","88","ESSEX STREET","10002","9179394070","Juice, Smoothies, Fruit Salads","2023-06-06T00:00:00.000","Violations were cited in the following area(s).","20-08","Failure to post or conspicuously post healthy eating information","Not Critical",,,,"2026-07-01T06:00:14.000","Administrative Miscellaneous / Initial Inspection","40.718140053728","-73.988402066414","103","01","001800","1090554","1003527501","MN27","POINT (-73.988402066414 40.718140053728)"
"41574441","PRINCESS PIZZERIA","Brooklyn","535","5 AVENUE","11215","7187889111","Pizza","2024-01-08T00:00:00.000","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","22",,,"2026-07-01T06:00:14.000","Cycle Inspection / Initial Inspection","40.666066266529","-73.988872546781","306","39","014100","3023694","3010420010","BK37","POINT (-73.988872546781 40.666066266529)"
"50184811","MORGENSTERN'S FINEST ICE CREAM","Manhattan","215","BOWERY","10002","9176573942",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-07-01T06:00:18.000",,"40.721848633195","-73.993434084539","103","01","003601","1005700","1004267501","MN27","POINT (-73.993434084539 40.721848633195)"
"40885478","ROCA TONE SEAFOOD RESTAURANT","Bronx","3740","WHITE PLAINS ROAD","10467","7186546480","Caribbean","2024-01-12T00:00:00.000","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","31",,,"2026-07-01T06:00:14.000","Cycle Inspection / Initial Inspection","40.882582308452","-73.863343365724","212","12","039000","2058006","2046650055","BX44","POINT (-73.863343365724 40.882582308452)"
"41612730","PAPA YE RESTAURANT","Bronx","196","MCCLELLAN STREET","10456","7186813240","African","2025-06-17T00:00:00.000","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","25",,,"2026-07-01T06:00:14.000","Cycle Inspection / Initial Inspection","40.832644305218","-73.917756321238","204","16","018102","2002742","2024560075","BX14","POINT (-73.917756321238 40.832644305218)"
"50072223","LULA BIRD","Brooklyn","814","NOSTRAND AVENUE","11216","7186187339","Latin American","2024-06-13T00:00:00.000","Violations were cited in the following area(s).","04A","Food Protection Certificate (FPC) not held by manager or supervisor of food operations.","Critical","12","A","2024-06-13T00:00:00.000","2026-07-01T06:00:14.000","Cycle Inspection / Initial Inspection","40.67092805807","-73.95041125523","308","35","031702","3032248","3012540043","BK61","POINT (-73.95041125523 40.67092805807)"
"50179011","245 PARK AMENITY LLC","Manhattan","245","PARK AVENUE","10167","6463917425",,"1900-01-01T00:00:00.000",,,,"Not Applicable",,,,"2026-07-01T06:00:18.000",,"40.754819088973","-73.97568321334","105","04","009200","1036205","1013010001","MN19","POINT (-73.97568321334 40.754819088973)"
